FL_X,FL_Y,FR_X,FR_Y,ML_X,ML_Y,MR_X,MR_Y,BL_X,BL_Y,BR_X,BR_Y
-1.88,1.22,-1.88,-1.15,-7.04,1.09,-5.68,-1.03,-5.68,1.09,-7.04,-1.03
-1.84,1.22,-1.84,-1.15,-7.00,1.09,-5.64,-1.03,-5.64,1.09,-7.00,-1.03
-1.80,1.22,-1.80,-1.15,-6.96,1.09,-5.60,-1.03,-5.60,1.09,-6.96,-1.03
-1.76,1.22,-1.76,-1.15,-6.92,1.09,-5.56,-1.03,-5.56,1.09,-6.92,-1.03
-1.72,1.22,-1.72,-1.15,-6.88,1.09,-5.52,-1.03,-5.52,1.09,-6.88,-1.03
-1.68,1.22,-1.68,-1.15,-6.84,1.09,-5.48,-1.03,-5.48,1.09,-6.84,-1.03
-1.64,1.22,-1.64,-1.15,-6.80,1.09,-5.44,-1.03,-5.44,1.09,-6.80,-1.03
-1.60,1.22,-1.60,-1.15,-6.76,1.09,-5.40,-1.03,-5.40,1.09,-6.76,-1.03
-1.56,1.22,-1.56,-1.15,-6.72,1.09,-5.36,-1.03,-5.36,1.09,-6.72,-1.03
-1.52,1.22,-1.52,-1.15,-6.68,1.09,-5.32,-1.03,-5.32,1.09,-6.68,-1.03
-1.48,1.22,-1.48,-1.15,-6.64,1.09,-5.28,-1.03,-5.28,1.09,-6.64,-1.03
-1.44,1.22,-1.44,-1.15,-6.60,1.09,-5.24,-1.03,-5.24,1.09,-6.60,-1.03
-1.40,1.22,-1.40,-1.15,-6.56,1.09,-5.20,-1.03,-5.20,1.09,-6.56,-1.03
-1.36,1.22,-1.36,-1.15,-6.52,1.09,-5.16,-1.03,-5.16,1.09,-6.52,-1.03
-1.32,1.22,-1.32,-1.15,-6.48,1.09,-5.12,-1.03,-5.12,1.09,-6.48,-1.03
-1.28,1.22,-1.28,-1.15,-6.44,1.09,-5.08,-1.03,-5.08,1.09,-6.44,-1.03
-1.24,1.22,-1.24,-1.15,-6.40,1.09,-5.04,-1.03,-5.04,1.09,-6.40,-1.03
-1.20,1.22,-1.20,-1.15,-6.36,1.09,-5.00,-1.03,-5.00,1.09,-6.36,-1.03
-1.16,1.22,-1.16,-1.15,-6.32,1.09,-4.96,-1.03,-4.96,1.09,-6.32,-1.03
-1.12,1.22,-1.12,-1.15,-6.28,1.09,-4.92,-1.03,-4.92,1.09,-6.28,-1.03
-1.08,1.22,-1.08,-1.15,-6.24,1.09,-4.88,-1.03,-4.88,1.09,-6.24,-1.03
-1.04,1.22,-1.04,-1.15,-6.20,1.09,-4.84,-1.03,-4.84,1.09,-6.20,-1.03
-1.00,1.22,-1.00,-1.15,-6.16,1.09,-4.80,-1.03,-4.80,1.09,-6.16,-1.03
-0.96,1.22,-0.96,-1.15,-6.12,1.09,-4.76,-1.03,-4.76,1.09,-6.12,-1.03
-0.92,1.22,-0.92,-1.15,-6.08,1.09,-4.72,-1.03,-4.72,1.09,-6.08,-1.03
-0.88,1.22,-0.88,-1.15,-6.04,1.09,-4.68,-1.03,-4.68,1.09,-6.04,-1.03
-0.84,1.22,-0.84,-1.15,-6.00,1.09,-4.64,-1.03,-4.64,1.09,-6.00,-1.03
-0.80,1.22,-0.80,-1.15,-5.96,1.09,-4.60,-1.03,-4.60,1.09,-5.96,-1.03
-0.76,1.22,-0.76,-1.15,-5.92,1.09,-4.56,-1.03,-4.56,1.09,-5.92,-1.03
-0.72,1.22,-0.72,-1.15,-5.88,1.09,-4.52,-1.03,-4.52,1.09,-5.88,-1.03
-0.68,1.22,-0.68,-1.15,-5.84,1.09,-4.48,-1.03,-4.48,1.09,-5.84,-1.03
-0.64,1.22,-0.64,-1.15,-5.80,1.09,-4.44,-1.03,-4.44,1.09,-5.80,-1.03
-0.60,1.22,-0.60,-1.15,-5.76,1.09,-4.40,-1.03,-4.40,1.09,-5.76,-1.03
-0.56,1.22,-0.56,-1.15,-5.72,1.09,-4.36,-1.03,-4.36,1.09,-5.72,-1.03
-0.52,1.22,-0.52,-1.15,-5.68,1.09,-4.32,-1.03,-4.32,1.09,-5.68,-1.03
-0.48,1.22,-0.48,-1.15,-5.64,1.09,-4.28,-1.03,-4.28,1.09,-5.64,-1.03
-0.44,1.22,-0.44,-1.15,-5.60,1.09,-4.24,-1.03,-4.24,1.09,-5.60,-1.03
